name,coordinates,class,AgroClimaticZone
10392,"72.9386995,19.1450405",2,12
10393,"72.9907415,19.1480525",2,12
10394,"72.8401745,19.1492475",1,12
10395,"72.926845,19.154895",1,12
10396,"72.9902605,19.1655025",1,12
10397,"73.069313,19.1689715",2,12
10398,"72.945413,19.170287",2,12
10399,"72.972357,19.175076",1,12
104,"77.826169,11.8093005",1,10
1040,"85.426789,25.0844935",2,4
10400,"72.8359365,19.1757525",2,12
10401,"72.9528035,19.1800695",1,12
10402,"82.9335835,17.8259365",2,11
10403,"79.112418,18.433901",2,10
10404,"80.66825,16.4934805",1,11
10405,"78.52059,17.47914",2,10
10406,"80.961645,16.679004",2,11
10407,"81.978139,16.844667",1,11
10408,"79.568612,16.8769415",1,10
10409,"78.673382,17.2659825",1,10
1041,"83.2279305,25.0846725",1,4
10410,"78.886673,17.518065",2,10
10411,"81.1271315,16.176356",1,11
10412,"80.1601675,17.259469",1,10
10413,"78.491004,17.4174395",1,10
10414,"78.4282895,17.345029",1,10
10415,"77.608774,14.638766",1,10
10416,"81.2331565,16.5622095",2,11
10417,"81.092148,16.7160115",2,11
10418,"83.1392755,18.1098495",1,11
10419,"78.4212045,17.415427",1,10
1042,"86.8651575,25.0996035",1,4
10420,"79.4899415,19.34575",2,10
10421,"77.7166205,14.424444",1,10
10422,"79.5054,17.941534",2,10
10423,"79.56872,13.3152595",1,10
10424,"77.1067475,14.5505035",1,10
10425,"78.532917,17.4471185",1,10
10426,"79.2667855,15.7417055",2,11
10427,"78.6342875,17.2815015",1,10
10428,"80.879871,17.6663405",1,10
10429,"78.5416065,19.677489",2,10
1043,"85.6346525,25.110817",2,4
10430,"78.487145,17.3094165",2,10
10431,"78.5214985,17.386805",1,10
10432,"77.6016045,14.685176",2,10
10433,"79.1258965,18.4212385",2,10
10434,"78.808987,14.4805585",1,10
10435,"78.5497025,17.4773885",1,10
10436,"79.8967315,13.9051055",1,11
10437,"80.020173,13.7019785",1,11
10438,"77.4775205,15.76832",2,10
10439,"77.789467,16.2395715",2,10
1044,"84.976029,25.114996",2,4
10440,"80.710147,16.4793395",2,11
10441,"83.204277,17.6772815",2,11
10442,"78.8111715,14.4713305",2,10
10443,"80.687101,16.486374",2,11
10444,"80.6361875,16.2397105",2,11
10445,"78.2838905,17.5099295",1,10
10446,"78.551019,17.394833",2,10
10447,"78.3366835,18.3172655",1,10
10448,"78.474109,17.3901155",1,10
10449,"78.4808045,17.3762155",1,10
1045,"84.559559,25.1407515",1,4
10450,"82.2277075,16.9713915",2,11
10451,"84.233689,18.6081525",2,11
10452,"82.2147395,16.7501835",2,11
10453,"80.8303825,16.345794",2,11
10454,"78.4403735,17.456563",1,10
10455,"78.421307,17.3819065",2,10
10456,"81.705421,16.43965",2,11
10457,"80.694771,16.483239",2,11
10458,"81.294538,17.12308",2,11
10459,"80.3928285,15.862556",1,11
1046,"84.6421165,25.1638255",1,4
10460,"79.980911,14.441912",2,11
10461,"78.4347775,17.3557405",1,10
10462,"79.556372,17.9854295",1,10
10463,"79.147155,18.439414",1,10
10464,"77.4568075,17.2970515",2,10
10465,"80.414459,16.3126665",1,11
10466,"78.5387985,17.4365995",1,10
10467,"82.031187,16.832975",2,11
10468,"79.1647825,14.19243",2,10
10469,"78.328508,18.766361",1,10
1047,"86.150916,25.1665835",1,4
10470,"78.125196,16.774675",2,10
10471,"77.995238,16.7376015",1,10
10472,"78.8536695,18.1091815",1,10
10473,"81.527424,16.808151",1,11
10474,"80.9384255,16.117969",2,11
10475,"79.476954,18.859174",2,10
10476,"79.9463295,18.18727",1,10
10477,"78.400398,17.4983175",1,10
10478,"79.5045765,15.4018635",1,11
10479,"79.898625,17.937378",2,10
1048,"93.0121055,25.1814365",1,2
10480,"80.0516855,15.4927605",1,11
10481,"81.698472,16.4301275",2,11
10482,"79.9469565,14.4016135",1,11
10483,"78.8205565,14.4590265",2,10
10484,"93.605146,27.080122",2,2
10485,"93.698494,27.106561",2,2
10486,"93.622233,27.0939545",1,2
10487,"91.739897,26.13825",1,2
10488,"94.9139595,27.4693065",2,2
10489,"93.021239,25.1814445",2,2
1049,"73.4499755,25.184266",2,8
10490,"91.7598145,26.1579265",1,2
10491,"91.746803,26.183216",2,2
10492,"91.7628095,26.163917",2,2
10493,"92.690915,26.359987",2,2
10494,"94.6447095,26.985755",1,2
10495,"91.7870305,26.1289495",1,2
10496,"91.7932575,26.1336315",1,2
10497,"94.931227,27.4666535",2,2
10498,"90.56612,26.475415",1,2
10499,"95.356922,27.487282",1,2
105,"79.7844135,11.9456795",2,11
1050,"84.5324275,25.1890185",2,4
10500,"91.7465575,26.164112",2,2
10501,"94.2079165,26.7597705",1,2
10502,"94.631509,26.9852515",1,2
10503,"92.6708305,26.342579",2,2
10504,"90.548593,26.4818285",1,2
10505,"91.6486605,26.16158",2,2
10506,"91.6975625,26.149568",2,2
10507,"92.8651535,26.0033355",2,2
10508,"91.7595695,26.1873305",1,2
10509,"91.795878,26.101402",2,2
1051,"85.0926785,25.2049605",2,4
10510,"92.805582,24.8368655",2,2
10511,"95.313499,27.336517",2,2
10512,"92.710713,26.3541375",2,2
10513,"92.695218,26.3392235",1,2
10514,"91.76747,26.176837",2,2
10515,"95.443678,27.4900205",1,2
10516,"89.9785795,26.0228065",1,2
10517,"92.7975775,26.6291605",1,2
10518,"90.5322785,26.516443",1,2
10519,"92.685394,26.3374715",2,2
1052,"84.9887225,25.205289",2,4
10520,"91.7508975,26.173497",2,2
10521,"91.7851135,26.117618",2,2
10522,"91.8069835,26.154742",2,2
10523,"89.9801035,26.0136825",1,2
10524,"94.107116,27.23421",1,2
10525,"90.5258955,26.513568",2,2
10526,"95.3628465,27.4829305",2,2
10527,"92.806948,26.624891",2,2
10528,"93.4389115,25.8407835",1,2
10529,"91.6416665,26.157198",2,2
1053,"78.74365,25.2055165",2,8
10530,"93.1535485,26.7349615",2,2
10531,"91.7431735,26.144981",2,2
10532,"91.0068985,26.315506",2,2
10533,"91.7855675,26.180363",2,2
10534,"90.257409,26.397991",2,2
10535,"91.7817965,26.1424555",1,2
10536,"92.784613,26.6326755",2,2
10537,"91.613625,26.4375195",2,2
10538,"92.859262,25.994996",2,2
10539,"95.3365705,27.4803805",1,2
1054,"82.719106,25.2072625",2,4
10540,"95.324791,27.3442105",1,2
10541,"91.7307405,26.1420895",1,2
10542,"92.796837,24.8180395",2,2
10543,"93.1656225,25.752311",1,2
10544,"92.695987,26.3569325",2,2
10545,"91.801301,26.1510555",1,2
10546,"91.7797345,26.131397",1,2
10547,"91.7824495,26.1367815",1,2
10548,"91.828779,26.131038",1,2
10549,"91.011507,26.320551",1,2
1055,"86.3188265,25.215325",2,4
10550,"91.6560305,26.163792",2,2
10551,"93.015238,25.163541",2,2
10552,"91.73617,26.1302355",2,2
10553,"91.7874745,26.1481525",2,2
10554,"95.364267,27.4911685",1,2
10555,"91.694701,26.158218",2,2
10556,"94.9344915,27.492823",2,2
10557,"93.170738,25.745582",2,2
10558,"92.7824645,24.8343855",2,2
10559,"91.7341485,26.1762525",1,2
1056,"84.983143,25.215634",1,4
10560,"91.755607,26.145477",2,2
10561,"91.7726935,26.143461",2,2
10562,"95.334994,27.3503775",2,2
10563,"94.938896,27.4747135",2,2
10564,"85.79061,25.859618",1,4
10565,"85.3427935,25.0048105",2,4
10566,"84.018017,24.9445215",1,4
10567,"86.0691605,26.3365265",1,4
10568,"84.927436,26.6509615",1,4
10569,"85.4047255,26.1155465",1,4
1057,"84.897807,25.221484",1,4
10570,"86.647746,24.9347745",2,7
10571,"86.944468,25.35844",2,4
10572,"86.234158,26.5473215",1,4
10573,"86.0303735,25.169338",1,4
10574,"85.049095,25.6350095",1,4
10575,"84.146168,24.897856",2,4
10576,"87.0001725,25.2506125",1,4
10577,"85.1130575,25.6109735",1,4
10578,"87.1673045,25.2123565",2,4
10579,"85.544336,24.886266",1,4
1058,"86.975422,25.2227845",1,4
10580,"84.453965,26.4644415",2,4
10581,"84.836885,24.9270085",2,4
10582,"85.3664195,26.1103405",1,4
10583,"86.8302535,25.1032125",2,7
10584,"85.4001855,26.117965",1,4
10585,"84.2251765,24.8626105",1,4
10586,"84.6446855,25.2375845",2,4
10587,"85.3829325,26.1127155",2,4
10588,"85.421269,25.0412795",1,4
10589,"86.096969,25.1837685",1,4
1059,"85.793758,25.2281295",2,4
10590,"84.834704,24.9421165",2,4
10591,"86.09108,26.4940185",2,4
10592,"84.6114905,25.129836",1,4
10593,"85.96732,26.5302305",2,4
10594,"85.0942685,25.644577",2,4
10595,"85.363589,26.135402",1,4
10596,"85.901911,26.1415335",1,4
10597,"86.9445975,25.3527765",2,4
10598,"85.998421,26.2133085",1,4
10599,"86.594092,25.1494545",2,4
106,"79.8096765,11.9484565",2,11
1060,"84.6444255,25.228896",1,4
10600,"86.475106,26.295904",2,4
10601,"86.9241525,24.8564645",1,7
10602,"83.600144,25.0425505",2,4
10603,"87.0228405,25.2672825",1,4
10604,"84.9876825,24.7961855",1,4
10605,"85.9037695,26.130038",1,4
10606,"85.228565,25.225572",2,4
10607,"87.0330415,24.807483",2,7
10608,"87.477679,25.774147",2,4
10609,"84.4329195,25.2244685",2,4
1061,"86.934613,25.2386605",1,4
10610,"84.753792,25.7746735",2,4
10611,"84.9307885,26.64778",1,4
10612,"84.876198,24.948735",2,4
10613,"87.009513,24.8131205",2,7
10614,"86.9813275,25.235413",1,4
10615,"84.46695,25.244002",2,4
10616,"86.4721805,25.3757125",1,4
10617,"86.1087495,26.004086",2,4
10618,"84.318457,25.386291",2,4
10619,"87.0675,24.855215",1,7
1062,"73.233342,25.2397865",2,8
10620,"84.5967515,25.2628045",2,4
10621,"84.6304375,24.8139615",1,4
10622,"85.7934925,25.1816865",2,4
10623,"85.0958395,25.622124",1,4
10624,"85.9433945,26.316903",1,4
10625,"87.095547,24.990127",2,7
10626,"85.8285,24.9601425",2,4
10627,"85.8866955,26.171255",2,4
10628,"85.2747585,26.7389675",1,4
10629,"85.890273,26.162348",1,4
1063,"86.9744895,25.240604",1,4
10630,"87.1954195,25.887542",2,4
10631,"85.007125,24.787399",1,4
10632,"86.6037625,24.890576",2,7
10633,"84.592147,24.435765",1,4
10634,"85.1371845,25.60084",1,4
10635,"85.517417,25.213719",2,4
10636,"85.201884,25.1458225",1,4
10637,"86.9772155,24.916224",1,7
10638,"85.546718,24.8518945",1,4
10639,"84.45301,25.5573255",2,4
1064,"84.49861,25.243987",1,4
10640,"85.0714515,25.5726095",2,4
10641,"85.1603425,25.5932305",1,4
10642,"84.7811385,24.7323475",2,4
10643,"84.864432,25.9694695",2,4
10644,"86.0667805,26.3536215",1,4
10645,"87.2715085,26.3365175",2,4
10646,"84.9887345,24.7850625",2,4
10647,"85.2915475,24.874712",2,4
10648,"86.555427,25.1231195",1,4
10649,"84.749302,25.31659",2,4
1065,"79.143371,25.2442275",1,8
10650,"84.682282,25.567843",1,4
10651,"85.673676,24.8169925",1,4
10652,"85.127749,25.6141245",1,4
10653,"85.2004975,24.936387",2,4
10654,"87.251181,26.307921",2,4
10655,"84.3638775,26.2128795",1,4
10656,"85.5978665,25.214925",2,4
10657,"84.6102465,25.172278",2,4
10658,"86.028373,26.5156955",1,4
10659,"85.3999555,25.138293",2,4
